Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Nauczyciel języka polskiego"; "Okleśna, małopolskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa im. Ignacego Jana Paderewskiego"; "2025-06-05"; 
"Nauczyciel języka polskiego"; "Nidzica, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Nr 3 im. Janusza Korczaka w Nidzicy"; "2025-06-05"; 
"Nauczyciel języka polskiego"; "Rawicz, wielkopolskie"; "Umowa o pracę w zastępstwie"; "SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA"; "2025-06-10"; 
"Nauczyciel języka polskiego"; "Ciepielew, wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "SZKOŁA PODSTAWOWA CIEPIELEW"; "2025-06-11"; 
"Nauczyciel języka polskiego"; "Chodzież, wielkopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół im. Hipolita Cegielskiego w Chodzieży"; "2025-06-11"; 
"Nauczyciel języka polskiego"; "Bolesławiec, dolnośląskie"; "Umowa o pracę na czas określony"; "II Liceum Ogólnokształcące im. Janusza Korczaka w Bolesławcu"; "2025-06-11"; 
"Nauczyciel języka polskiego"; "Jabłonna, mazowieckie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Armii Krajowej w Jabłonnie"; "2025-06-11"; 
"Nauczyciel języka polskiego"; "Wolsztyn, wielkopolskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ SPECJALNYCH W WOLSZTYNIE"; "2025-06-13"; 
"Nauczyciel języka polskiego"; "Sokółka, podlaskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 3 im. Walerego Wróblewskiego"; "2025-06-11"; 
"Nauczyciel języka polskiego"; "Sokółka, podlaskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 3 im. Walerego Wróblewskiego"; "2025-06-13"; 
"Nauczyciel języka polskiego"; "Słupsk, pomorskie"; "Umowa o pracę na czas określony"; "WOJSKOWE LICEUM OGÓLNOKSZTAŁCĄCE W SŁUPSKU"; "2025-06-17"; 
"Nauczyciel języka polskiego"; "Środa Śląska, dolnośląskie"; "Umowa o pracę w zastępstwie"; "Powiatowy Zespół Szkół nr 1 im. Mikołaja Kopernika"; "2025-06-17"; 
"Nauczyciel języka polskiego"; "Siedlce, mazowieckie"; "Umowa o pracę na czas określony"; "Centrum Kształcenia Ustawicznego"; "2025-06-18"; 
"Nauczyciel języka polskiego"; "Kostkowo, pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkolno-Przedszkolny w Kostkowie"; "2025-06-18"; 
"Nauczyciel języka polskiego"; "Zielona Góra, lubuskie"; "Umowa o pracę w zastępstwie"; "Zespół Edukacyjny Nr 9"; "2025-06-25"; 
"Nauczyciel języka polskiego"; "Leszno, wielkopolskie"; "Umowa o pracę na okres próbny"; "PAWEŁ KUROPKA AKADEMIA NAUKI"; "2025-06-26"; 
"Nauczyciel języka polskiego"; "Brzeźno, lubelskie"; "Umowa o pracę na czas określony"; "ETD INVESTMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-06-26"; 
"Nauczyciel języka polskiego"; "Rumia, pomorskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa nr 6"; "2025-06-27"; 
"Nauczyciel języka polskiego"; "Radoszki, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Janusza Korczaka w Radoszkach"; "2025-06-30"; 
"Nauczyciel języka polskiego"; "Bytów, pomorskie"; "Umowa o pracę w zastępstwie"; "ZESPÓŁ SZKÓŁ EKONOMICZNO - USŁUGOWYCH im. Stanisława Staszica"; "2025-06-30"; 
"Nauczyciel języka polskiego"; "Głobino, pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Henryka Sienkiewicza w Głobinie"; "2025-06-30"; 
"Nauczyciel języka polskiego"; "Polkowice, dolnośląskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 1 im. Jana Wyzykowskiego w Polkowicach"; "2025-07-01"; 
"Nauczyciel języka polskiego"; "Pszczółki, pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im.Bohaterów Ziemi Gdańskiej w Pszczółkach"; "2025-07-01"; 
"Nauczyciel języka polskiego"; "Rutki-Kossaki, podlaskie"; "Umowa o pracę w zastępstwie"; "SZKOŁA PODSTAWOWA W RUTKACH"; "2025-07-01"; 
"Nauczyciel języka polskiego"; "Trumieje, pomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. STEFANA ŻEROMSKIEGO W TRUMIEJACH"; "2025-07-01"; 
"Nauczyciel języka polskiego"; "Dzierżoniów, dolnośląskie"; "Umowa o pracę w zastępstwie"; "Zespół Szkół Nr 3 im. Kombatantów Rzeczypospolitej Polskiej"; "2025-06-30"; 
"Nauczyciel języka polskiego"; "Kielce, świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa nr 27 im. K K. Baczyńskiego w Kielcach"; "2025-07-02"; 
"Nauczyciel języka polskiego"; "Bolesławiec, dolnośląskie"; "Umowa o pracę na czas określony"; "Oxpress Sp. z o.o."; "2025-07-03"; 
"Nauczyciel języka polskiego"; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "Fundacja Rideton"; "2025-07-03"; 
"Nauczyciel języka polskiego"; "Garczegorze, pomorskie"; "Umowa o pracę na czas nieokreślony"; "Zespół Szkół im. Męczenników Marszu Śmierci KL. Stutthof w Garczegorzu"; "2025-07-02"; 
"Nauczyciel języka polskiego"; "Dłużyna, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Dłużynie"; "2025-07-03"; 
"Nauczyciel języka polskiego"; "Pyrzyce, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół nr 2 Centrum Kształcenia Ustawicznego"; "2025-07-04"; 
"Nauczyciel języka polskiego"; "Bogdanowice, opolskie"; "Umowa o pracę na czas określony"; "Społeczno-Oświatowe Stowarzyszenie na Rzecz Rozwoju Wsi"; "2025-07-03"; 
"Nauczyciel języka polskiego"; "Zgorzelec, dolnośląskie"; "Umowa o pracę na czas określony"; "CENTRUM NAUKI I BIZNESU ""ŻAK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-04"; 
"Nauczyciel języka polskiego"; "Mieroszów, dolnośląskie"; "Umowa o pracę na czas określony"; "Specjalny Ośrodek Szkolno - Wychowawczy w Nowym Siodle"; "2025-07-04"; 
"Nauczyciel języka polskiego"; "Łobżenica, wielkopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM.KOMISJI EDUKACJI NARODOWEJ W ŁOBŻENICY"; "2025-07-02"; 
"Nauczyciel języka polskiego"; "Lębork, pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Nr 3 im. Olimpijczyków Polskich"; "2025-07-07"; 
"Nauczyciel języka polskiego"; "Rybno, mazowieckie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa z Oddziałami Przedszkolnymi w Rybnie"; "2025-07-07"; 
"Nauczyciel języka polskiego"; "Wisła, śląskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Gastronomiczno-Hotelarskich im.Wł.Reymonta w Wiśle"; "2025-07-07"; 
"Nauczyciel języka polskiego"; "Rybno, mazowieckie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa z Oddziałami Przedszkolnymi w Rybnie"; "2025-07-07"; 
"Nauczyciel języka polskiego"; "Sierakowice, pomorskie"; "Umowa o pracę na czas określony"; "POWIATOWY ZESPÓŁ SZKÓŁ W SIERAKOWICACH"; "2025-07-07"; 
"Nauczyciel języka polskiego"; "Brojce, zachodniopomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA W BROJCACH"; "2025-07-07"; 
"Nauczyciel języka polskiego"; "Kwidzyn, pomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 5 IM. ZJEDNOCZONEJ EUROPY W KWIDZYNIE"; "2025-07-08"; 
"Nauczyciel języka polskiego"; "Rydzyna, wielkopolskie"; "Umowa o pracę na czas określony"; "Specjalny Ośrodek Szkolno-Wychowawczy w Rydzynie"; "2025-07-08"; 
"Nauczyciel języka polskiego"; "Gdańsk, pomorskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa Nr 59 w Gdańsku"; "2025-07-08"; 
"Nauczyciel języka polskiego"; "Mołtajny, warmińsko-mazurskie"; "Nie dotyczy"; "Szkoła Podstawowa im. Jana Pawła II w Mołtajnach"; "2025-07-07"; 
"Nauczyciel języka polskiego"; "Stowięcino, pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Jana Kochanowskiego w Stowięcinie"; "2025-07-08"; 
"Nauczyciel języka polskiego"; "Kup, opolskie"; "Umowa o pracę na okres próbny"; "Stowarzyszenie na Rzecz Autyzmu ""Uczymy się żyć razem"""; "2025-07-09"; 
"Nauczyciel języka polskiego"; "Głużek, mazowieckie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa w Głużku"; "2025-07-09"; 
"Nauczyciel języka polskiego"; "Bielsko-Biała, śląskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa nr 31 im. Jana Kochanowskiego w Bielsku-Białej"; "2025-07-09"; 
"Nauczyciel języka polskiego"; "Sychowo, pomorskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa im. płk Stanisława Dąbka w Sychowie"; "2025-07-09"; 
"Nauczyciel języka polskiego"; "Żukowo, pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Zawodowych i Ogólnokształcących w Żukowie"; "2025-07-09"; 
"Nauczyciel języka polskiego"; "Nowy Dwór Gdański, pomorskie"; "Umowa o pracę na czas określony"; "LICEUM OGÓLNOKSZTAŁCĄCE IM. ZIEMI ŻUŁAWSKIEJ"; "2025-07-10"; 
"Nauczyciel języka polskiego"; "Paprotnia, wielkopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA W PAPROTNI"; "2025-07-10"; 
"Nauczyciel języka polskiego"; "Ciekocino, pomorskie"; "Umowa o pracę na czas nieokreślony"; "ZESPÓŁ SZKOLNO - PRZEDSZKOLNY W CIEKOCINIE"; "2025-07-10"; 
"Nauczyciel języka polskiego"; "Rumia, pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Ogólnokształcących w Rumi"; "2025-07-11"; 
"Nauczyciel języka polskiego"; "Biecz, małopolskie"; "Umowa o pracę na czas nieokreślony"; "Zespół Szkół Zawodowych im. św. Jadwigi Królowej w Bieczu"; "2025-07-11"; 
"Nauczyciel języka polskiego"; "Wola Zadybska, lubelskie"; "Umowa o pracę w zastępstwie"; "SZKOŁA PODSTAWOWA IM. JANA KUPCZYKA Z ODDZIAŁAMI PRZEDSZKOLNYMI W WOLI ZADYBSKIEJ"; "2025-07-10"; 
"Nauczyciel języka polskiego"; "Głogów, dolnośląskie"; "Umowa o pracę w zastępstwie"; "Zespół Szkół Technicznych i Ogólnokształcących w Głogowie"; "2025-07-14"; 
"Nauczyciel języka polskiego"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Ogólnokształcących NR 2"; "2025-07-14"; 
"Nauczyciel języka polskiego"; "Jarosławiec, lubelskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa im. Marii Dąbrowskiej w Jarosławcu"; "2025-07-14"; 
"Nauczyciel języka polskiego"; "Węsiory, pomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA W WĘSIORACH"; "2025-07-11"; 
"Nauczyciel języka polskiego"; "Zamość, lubelskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ MISTRZOSTWA SPORTOWEGO Z SIEDZIBĄ W ZAMOŚCIU"; "2025-07-15"; 
"Nauczyciel języka polskiego"; "Czaplinek, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Czaplinek"; "2025-07-15"; 
"Nauczyciel języka polskiego"; "Długie Stare, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa w Długiem Starem"; "2025-07-15"; 
"Nauczyciel języka polskiego"; "Osjaków, łódzkie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Powstańców Styczniowych w Osjakowie"; "2025-07-16"; 
"Nauczyciel języka polskiego"; "Końskie, świętokrzyskie"; "Umowa o pracę na czas określony"; "Zakład Doskonalenia Zawodowego w Kielcach"; "2025-07-16"; 
"Nauczyciel języka polskiego"; "Miechów, małopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Nr 2 w Miechowie"; "2025-07-16"; 
"Nauczyciel języka polskiego"; "Radymno, podkarpackie"; "Umowa o pracę na czas określony"; "Zespół Szkół Centrum Kształcenia Rolniczego"; "2025-07-14"; 
"Nauczyciel języka polskiego"; "Gorzów Wielkopolski, lubuskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa nr 2 z Oddziałami Sportowymi im. Szarych Szeregów"; "2025-07-16"; 
"Nauczyciel języka polskiego"; "Mielenko Drawskie, zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa im. Orła Białego w Mielenku Drawskim"; "2025-07-16"; 
"Nauczyciel języka polskiego"; "Lubin, dolnośląskie"; "Umowa o pracę w zastępstwie"; "SZKOŁA PODSTAWOWA NR 8 W LUBINIE"; "2025-07-17"; 
"Nauczyciel języka polskiego"; "Aleksandrów Kujawski, kujawsko-pomorskie"; "Umowa o pracę w zastępstwie"; "kontakt przez PUP"; "2025-07-17"; 
"Nauczyciel języka polskiego"; "Pniewy, wielkopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Powstańców Wielkopolskich"; "2025-07-16"; 
"Nauczyciel języka polskiego"; "Tychowo, zachodniopomorskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa im. Adama Mickiewicza w Tychowie"; "2025-07-18"; 
"Nauczyciel języka polskiego"; "Reda, pomorskie"; "Umowa o pracę na czas określony"; "Powiatowy Zespół Szkół w Redzie"; "2025-07-17"; 
"Nauczyciel języka polskiego"; "Kielce, świętokrzyskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Integracyjna nr 11w Kielcach"; "2025-07-18"; 
"Nauczyciel języka polskiego"; "Chorzele, mazowieckie"; "Umowa o pracę w zastępstwie"; "Publiczna Szkoła Podstawowa nr.2 im. Jana Pawła II w Chorzelach"; "2025-07-18"; 
"Nauczyciel języka polskiego"; "Międzyrzecz, lubuskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 6 im. Adama Mickiewicza"; "2025-07-21"; 
"Nauczyciel języka polskiego"; "Luboń, wielkopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 1 W LUBONIU"; "2025-07-21"; 
"Nauczyciel języka polskiego"; "Ostrów Wielkopolski, wielkopolskie"; "Umowa o pracę na czas określony"; "CENTRUM NAUKI I BIZNESU ""ŻAK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-07-21"; 
"Nauczyciel języka polskiego"; "Ossala, świętokrzyskie"; "Umowa o pracę na czas określony"; "Publiczna Szkoła Podstawowa im. H. i J. Świątyńskich w Ossali"; "2025-07-22"; 
"Nauczyciel języka polskiego"; "Bucz, wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "SZKOŁA PODSTAWOWA IM. EDWARDA TOMIŃSKIEGO"; "2025-07-22"; 
"Nauczyciel języka polskiego"; "Gorzów Wielkopolski, lubuskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Technicznych i Ogólnokształcących"; "2025-07-22"; 
"Nauczyciel języka polskiego"; "Pszczółki, pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im.Bohaterów Ziemi Gdańskiej w Pszczółkach"; "2025-07-22"; 
"Nauczyciel języka polskiego"; "Łódź, łódzkie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-07-22"; 
"Nauczyciel języka polskiego"; "Pieńsk, dolnośląskie"; "Umowa o pracę na okres próbny"; "SZKOŁA PODSTAWOWA NR 2 W PIEŃSKU IM. O. MICHAŁA TOMASZKA"; "2025-07-23"; 
"Nauczyciel języka polskiego"; "Chocznia, małopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 1 w Choczni"; "2025-07-22"; 
"Nauczyciel języka polskiego"; "Nasiedle, opolskie"; "Umowa o pracę na czas określony"; "Stowarzyszenie Przyjaciół Szkoły Podstawowej w Nasiedlu"; "2025-07-22"; 
"Nauczyciel języka polskiego"; "Jaczów, dolnośląskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Henryka Sienkiewicza w Jaczowie"; "2025-07-23"; 
"Nauczyciel języka polskiego"; "Sędziszów, świętokrzyskie"; "Umowa o pracę w zastępstwie"; "Zespół Szkół w Sędziszowie"; "2025-07-23"; 
"Nauczyciel języka polskiego"; "Szczucin, małopolskie"; "Umowa o pracę w zastępstwie"; "POWIATOWE CENTRUM EDUKACJI I KOMPETENCJI ZAWODOWYCH W SZCZUCINIE"; "2025-07-24"; 
"Nauczyciel języka polskiego"; "Rybnik, śląskie"; "Umowa o pracę w zastępstwie"; "SZKOŁA PODSTAWOWA NR 28 IM. ALOJZEGO SZEWCZYKA w Rybniku"; "2025-07-24"; 
"Nauczyciel języka polskiego"; "Sitno, lubelskie"; "Umowa o pracę na czas określony"; "Zespół Szkół w Sitnie"; "2025-07-24"; 
"Nauczyciel języka polskiego"; "Cieszyn, śląskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Budowlanych im. gen. Stefana Grota Roweckiego w Cieszynie"; "2025-07-24"; 
"Nauczyciel języka polskiego"; "Zapałów, podkarpackie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ZAPAŁOWIE"; "2025-07-24"; 
"Nauczyciel języka polskiego"; "Marcinkowice, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół im. Władysława Orkana w Marcinkowicach"; "2025-07-25"; 
"Nauczyciel języka polskiego"; "Brzeg, opolskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ BUDOWLANYCH IM. KS. JERZEGO II PIASTA"; "2025-07-25"; 
"Nauczyciel Języka Polskiego"; "Rzemień, podkarpackie"; "Umowa o pracę w zastępstwie"; "Zespół Szkół Centrum Kształcenia Rolniczego im. prof. Władysława Szafera w Rzemieniu"; "2025-05-29"; 
"NAUCZYCIEL JĘZYKA POLSKIEGO"; "Mechnica, opolskie"; "Umowa o pracę w zastępstwie"; "SPOŁECZNA SZKOŁA PODSTAWOWA IM. KS. JANA TWARDOWSKIEGO W MECHNICY"; "2025-03-05"; 
"NAUCZYCIEL JĘZYKA POLSKIEGO"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na czas określony"; "PUBLICZNA SZKOŁA PODSTAWOWA NR 11"; "2025-06-06"; 
"NAUCZYCIEL JĘZYKA POLSKIEGO"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę w zastępstwie"; "Publiczna Szkoła Podstawowa nr 12 im. kadeta Zygmunta Kuczyńskiego"; "2025-07-01"; 
"NAUCZYCIEL JĘZYKA POLSKIEGO"; "Cisek, opolskie"; "Umowa o pracę na czas określony"; "PUBLICZNA SZKOŁA PODSTAWOWA W ŁANACH"; "2025-07-10"; 
"NAUCZYCIEL JĘZYKA POLSKIEGO"; "Cisek, opolskie"; "Umowa o pracę na czas określony"; "PUBLICZNA SZKOŁA PODSTAWOWA W ŁANACH"; "2025-07-10"; 
"Nauczyciel języka polskiego - 18/18"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa Nr 4 im. Polskich Podróżników w Iławie"; "2025-07-04"; 
"Nauczyciel języka polskiego - 18/18"; "Laseczno, warmińsko-mazurskie"; "Umowa o pracę w zastępstwie"; "SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W LASECZNIE"; "2025-07-21"; 
"Nauczyciel języka polskiego - 20/18"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi im. Polskich Olimpijczyków w Iławie"; "2025-06-30"; 
"Nauczyciel języka polskiego - 25/25"; "Fijewo, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Fundacja Rozwoju Warmii i Mazur"; "2025-04-23"; 
"Nauczyciel języka polskiego - surdopedagog"; "Łódź, łódzkie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; "2025-07-25"; 
"Nauczyciel języka polskiego ( 2/h w tygodniu)"; "Idzbark, warmińsko-mazurskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa im. Józefa Piłsudskiego w Idzbarku"; "2025-07-18"; 
"Nauczyciel języka polskiego (26h dydaktycznych)"; "Tychy, śląskie"; "Umowa o pracę na czas nieokreślony"; "ZESPÓŁ SZKÓŁ IM. ORLĄT LWOWSKICH W TYCHACH ZAKŁADU DOSKONALENIA ZAWODOWEGO W KATOWICACH"; "2025-07-14"; 
"nauczyciel języka polskiego (nr 1198)"; "Inowrocław, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół im. Władysława Łokietka"; "2025-07-01"; 
"Nauczyciel języka polskiego (oligofrenopedagog)"; "Gdańsk, pomorskie"; "Umowa o pracę w zastępstwie"; "Szkoła Podstawowa Specjalna Nr 37"; "2025-07-01"; 
"Nauczyciel języka polskiego (pensum 9/18)"; "Bieruń, śląskie"; "Umowa o pracę na czas określony"; "Powiatowy Zespół Szkół w Bieruniu"; "2025-07-23"; 
"Nauczyciel języka polskiego dla obcokrajowców"; "Mieroszów, dolnośląskie"; "Umowa o pracę na czas określony"; "Specjalny Ośrodek Szkolno - Wychowawczy w Nowym Siodle"; "2025-07-04"; 
"Nauczyciel języka polskiego dla uczniów cudzoziemców"; "Kraków, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 36"; "2025-07-16"; 
"Nauczyciel języka polskiego i historii"; "Kluczbork, opolskie"; "Umowa o pracę na czas określony"; "SPECJALNY OŚRODEK SZKOLNO-WYCHOWAWCZY im. Marii Konopnickiej"; "2025-07-25"; 
"nauczyciel języka polskiego i informatyki"; "Moniaki, lubelskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im Jana Pawła II w Moniakach"; "2025-07-01"; 
"nauczyciel języka polskiego jako obcego"; "Skała, małopolskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 1 im.Władysława Łokietka w Skale"; "2025-07-14"; 
"Nauczyciel języka polskiego K/M"; "Warszawa, mazowieckie"; "Umowa o pracę na czas określony"; "Zespół Szkół nr 129"; "2025-07-04"; 
"Nauczyciel języka polskiego w szkole podstawowej"; "Tuchola, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa nr 3 w Tucholi"; "2025-03-26"; 
"Nauczyciel języka polskiego w szkole podstawowej"; "Michałowice, małopolskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W MICHAŁOWICACH"; "2025-06-11"; 
"Nauczyciel języka polskiego w szkole podstawowej FŚw"; "Dobromierz, dolnośląskie"; "Umowa o pracę na czas określony"; "Szkoła Podstawowa im. Jana Brzechwy Dobromierz"; "2025-07-07"; 
"Nauczyciel języka polskiego w Zaocznym Liceum Ogólnokształcącym dla Dorosłych w Iławie"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Centrum Edukacji Zawodowej"; "2025-07-04"; 
"Nauczyciel języka polskiego z uprawnieniami surdopedagoga (O)"; "Tarnów, małopolskie"; "Umowa o pracę na czas określony"; "Zespół Szkół Specjalnych dla Niesłyszących i Słabo Słyszących w Tarnowie"; "2025-07-21"; 
"Nauczyciel języka polskiego, języka angielskiego"; "Gdańsk, pomorskie"; "Umowa o pracę na okres próbny"; "FUNDACJA THINKING ZONE"; "2025-07-21"; 
"Nauczyciel języka polskiego, języka polskiego dla cudzoziemców (nr 1561)"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ EKONOMICZNO-ADMINISTRACYJNYCH W BYDGOSZCZY"; "2025-07-03"; 
"Nauczyciel języka polskiegow szkole podstawowej w klasach 4-8"; "Rzeszów, podkarpackie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 1 W RZESZOWIE"; "2025-07-15"; 
"Nauczyciel języka rosyjskiego"; "Wandowo, pomorskie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA IM. MJR. HENRYKA DOBRZAŃSKIEGO W WANDOWIE"; "2025-06-25"; 
"Nauczyciel języka ukraińskiego"; "Gdańsk, pomorskie"; "Umowa o pracę na czas nieokreślony"; "Szkoła Podstawowa nr 45 w Gdańsku"; "2025-07-23"; 
"Nauczyciel języka włoskiego"; "Jabłonka, małopolskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ IM.BOHATERÓW WESTERPLATTE W JABŁONCE"; "2025-07-21"; 
"Nauczyciel języka włoskiego"; "Świecie, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "I LICEUM OGÓLNOKSZTAŁCĄCE IM. FLORIANA CEYNOWY W ŚWIECIU"; "2025-07-22"; 
"Nauczyciel kierunku: Operator Łączności Radiowej"; "Gościno, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół im. Macieja Rataja w Gościnie"; "2025-07-22"; 
"Nauczyciel kierunku: Straż Pożarna"; "Gościno, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół im. Macieja Rataja w Gościnie"; "2025-07-22"; 
"Nauczyciel kierunku: Technik Lotniskowych Służb Operacyjnych"; "Gościno, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Zespół Szkół im. Macieja Rataja w Gościnie"; "2025-07-22"; 
"Nauczyciel klasy fortepianu"; "Słubice, lubuskie"; "Umowa o pracę na czas określony"; "Państwowa Szkoła Muzyczna I st. im. Stanisława Moniuszki w Słubicach"; "2025-05-31"; 
"Nauczyciel klasy fortepianu- zastępstwo"; "Słubice, lubuskie"; "Umowa o pracę w zastępstwie"; "Państwowa Szkoła Muzyczna I st. im. Stanisława Moniuszki w Słubicach"; "2025-05-13"; 
"Nauczyciel klasy fortepianu/akompaniator"; "Nowy Tomyśl, wielkopolskie"; "Umowa o pracę na czas określony"; "PAŃSTWOWA SZKOŁA MUZYCZNA I STOPNIA IM. WITOLDA LUTOSŁAWSKIEGO W NOWYM TOMYŚLU"; "2025-07-09"; 
"Nauczyciel klasy klarnetu"; "Słubice, lubuskie"; "Umowa o pracę na czas określony"; "Państwowa Szkoła Muzyczna I st. im. Stanisława Moniuszki w Słubicach"; "2025-05-13"; 
"Nauczyciel klasy perkusji"; "Nowy Tomyśl, wielkopolskie"; "Umowa o pracę na czas określony"; "PAŃSTWOWA SZKOŁA MUZYCZNA I STOPNIA IM. WITOLDA LUTOSŁAWSKIEGO W NOWYM TOMYŚLU"; "2025-07-09"; 
"nauczyciel konstrukcji i modelowania wyrobów odzieżowych"; "Zabrze, śląskie"; "Umowa o pracę na czas określony"; "ZESPÓŁ SZKÓŁ NR 3 IM. RTM. WITOLDA PILECKIEGO W ZABRZU"; "2025-07-22"; 
